ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;15.3;44;Não;Não;3590.69;Indústrias De Transformação;33;SUP. COMP;Feminino;Branca;De 5 a 9;Sociedade Empresária Limitada;Sim;20.401647727272728;3.015615668533115
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;25.8;44;Não;Não;5977.23;Indústrias De Transformação;27;SUP. COMP;Masculino;Branca;De 250 a 499;Sociedade Anônima Fechada;Não;33.96153409090909;3.525228533888966
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;5;0;;7.5;44;Não;Não;1905.85;Indústrias De Transformação;30;MEDIO COMPL;Feminino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;10.828693181818181;2.3821993872333285
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;23.2;44;Não;Não;3785.25;Indústrias De Transformação;36;SUP. COMP;Feminino;Branca;De 250 a 499;Sociedade Anônima Fechada;Não;21.507102272727273;3.0683832188503297
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;37.0;44;Não;Não;2460.92;Indústrias De Transformação;22;MEDIO COMPL;Masculino;Não identificado;De 10 a 19;Sociedade Empresária Limitada;Sim;13.9825;2.637806547713606
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Sim;Reemprego;11;0;;1.6;44;Não;Não;1560.66;Indústrias De Transformação;19;MEDIO COMPL;Masculino;Branca;De 50 a 99;Sociedade Empresária Limitada;Não;8.867386363636363;2.182380092656701
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;63.7;40;Não;Não;4720.27;Indústrias De Transformação;46;SUP. COMP;Feminino;Preta;De 20 a 49;Cooperativa;Não;29.501687500000003;3.3844474650995533
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;22.0;44;Não;Não;3547.81;Indústrias De Transformação;36;MEDIO COMPL;Masculino;Parda;De 10 a 19;Sociedade Empresária Limitada;Sim;20.158011363636362;3.003601795660891
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Reemprego;3;9;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;6.0;44;Não;Não;1843.68;Indústrias De Transformação;24;MEDIO COMPL;Masculino;Parda;De 10 a 19;Sociedade Empresária Limitada;Sim;10.475454545454546;2.3490348582275526
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;2;Rescisão sem justa causa por iniciativa do empregador.;62.9;44;Não;Não;1990.0;Indústrias De Transformação;27;MEDIO COMPL;Feminino;Branca;De 5 a 9;Empresário (Individual);Sim;11.306818181818182;2.4254059226803864
